rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,linedress,linedressed,problems,smooth,distraction,strategies,easier,similar,comments
22620.09999999404,{worker_id:63e5b3e89a3823139cb9d35e},id_enter,22621,id_enter,GW/barrel.jpg; GW/paint.jpg; GW/gong.jpg; GW/snail.jpg; GW/teeth.jpg; GW/basket.jpg; GW/dustpan.jpg; GW/soldier.jpg; GW/hat.jpg; GW/globe.jpg; GW/jukebox.jpg; GW/camera.jpg; GW/wheelchair.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,
28493.09999999404,,fullscreen,51117,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,
118334.5,,intro_1,169452,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
22663.29999998212,,intro_2,192116,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
4895.299999982119,,intro_3,197012,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,199014,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,200015,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,
9275.90000000596,,intro_1,209292,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
4095.0999999940395,,intro_2,213388,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,215389,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,216394,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,
2449.5999999940395,,intro_1,218844,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2591.5,,intro_2,221436,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
28887.30000001192,,intro_3,250324,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,251031,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
484.09999999403954,,prac_atten_color,251728,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,253729,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,254436,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
471.2999999821186,,prac_atten_color,255115,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257116,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257843,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
496.59999999403954,,prac_atten_color,258781,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,260783,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261247,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
348.39999997615814,,prac_atten_color,261778,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,263779,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264651,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,265081,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,
10,,prac_atten_color_black,267083,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268057,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
506.19999998807907,,prac_atten_color,269017,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271018,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271461,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
542.7999999821186,,prac_atten_color,272547,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274548,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,274864,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
379.69999998807907,,prac_atten_color,275536,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,277537,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,278267,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
432.5,,prac_atten_color,278736,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,280737,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,281670,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
357.30000001192093,,prac_atten_color,282565,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,284566,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,
