rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
34345.299999952316,{worker_id:65d563ecf8df20ade2f17888},id_enter,34349,blocked,replication,GW/shreveport.png; GW/peoria.png; GW/westpalmbeach.png; GW/gatlinburg.png; GW/racine.png; GW/cornwall.png; GW/newhope.png; GW/huntsville.png; GW/hotsprings.png; GW/leesburg.png; GW/hanover.png; GW/boulder.png; GW/carmel.png,,,,,,,,,,,,,,,,,,,,,,,
34217,,fullscreen,68570,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
57820.300000071526,,intro_1,126392,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
19845.700000047684,,intro_2,146239,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
12482,,intro_3,158722,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,161732,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,162741,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
8299.600000023842,,intro_1,171043,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
14302.899999976158,,intro_2,185346,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,188349,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,189353,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
5852.199999928474,,intro_1,195207,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
6821.5,,intro_2,202030,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
48981.90000009537,,intro_3,251013,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,251493,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
345.39999997615814,,prac_atten_color,252423,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,254426,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,254901,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
474.89999997615814,,prac_atten_color,255640,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,257642,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,258309,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
576,,prac_atten_color,259093,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261095,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,261724,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
544.3999999761581,,prac_atten_color,262789,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,264793,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,265141,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
566.2000000476837,,prac_atten_color,266076,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268085,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,268565,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
386.7000000476837,,prac_atten_color,269659,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,271669,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
