rt,responses,trial_type,time_elapsed,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs
15232.5,{worker_id:6691809035e52ca9b2b0f39a},id_enter,15235,id_enter,GW/camera.jpg; GW/gong.jpg; GW/wheelchair.jpg; GW/basket.jpg; GW/snail.jpg; GW/paint.jpg; GW/jukebox.jpg; GW/hat.jpg; GW/dustpan.jpg; GW/soldier.jpg; GW/barrel.jpg; GW/globe.jpg; GW/teeth.jpg,,,,,,,,,,,,,,,,,
19540.399999999907,,fullscreen,34779,fullscreen,,0,,,,,,,,,,,,,,,,
40014.39999999991,,intro_1,74794,instruct,,0,,,,,,,,,,,,,,,,
18918.399999999907,,intro_2,93714,instruct,,1,Next,,,,,,,,,,,,,,,
15095.09999999986,,intro_3,108810,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_1,110812,lean_prac_1,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,111815,<p></p>,,,,null,,,,,,,,,,,,,,
7313.59999999986,,intro_1,119130,instruct,,0,,,,,,,,,,,,,,,,
7223.09999999986,,intro_2,126354,instruct,,1,Next,,,,,,,,,,,,,,,
null,,learn_prac_2,128356,lean_prac_2,,,,null,,,,,,,,,,,,,,
null,,html-keyboard-response,129359,<p></p>,,,,null,,,,,,,,,,,,,,
3489.600000000093,,intro_1,132850,instruct,,0,,,,,,,,,,,,,,,,
10374.899999999907,,intro_2,143226,instruct,,1,Next,,,,,,,,,,,,,,,
27079,,intro_3,170306,instruct,,1,Next,,,,,,,,,,,,,,,
null,,prac_atten_color_black,170983,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,171711,prac_stop_color,,,,null,,,,,,,,,,,,,,
1796.5,,prac_atten_color_black,173713,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,174391,black_plus_sign,,,,null,,,,,,,,,,,,,,
1018.8999999999069,,prac_atten_color,175432,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,177435,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,177799,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,178758,prac_stop_color,,,,null,,,,,,,,,,,,,,
220.5,,prac_atten_color_black,180760,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,181208,black_plus_sign,,,,null,,,,,,,,,,,,,,
401.89999999990687,,prac_atten_color,181901,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,183903,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,184616,black_plus_sign,,,,null,,,,,,,,,,,,,,
706.3999999999069,,prac_atten_color,185589,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,187591,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,188024,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,188558,prac_stop_color,,,,null,,,,,,,,,,,,,,
228.5,,prac_atten_color_black,190559,black_plus_sign,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,191431,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color,191855,prac_stop_color,,,,null,,,,,,,,,,,,,,
3.8999999999068677,,prac_atten_color_black,193857,black_plus_sign,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,194840,black_plus_sign,,,,null,,,,,,,,,,,,,,
729.5,,prac_atten_color,195666,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,197669,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,198249,black_plus_sign,,,,null,,,,,,,,,,,,,,
712.6000000000931,,prac_atten_color,199300,prac_stop_color,,,,49,,,,,,,,,,,,,,
null,,prac_atten_color_black,201308,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,prac_atten_color_black,201662,black_plus_sign,,,,null,,,,,,,,,,,,,,
700.3000000000466,,prac_atten_color,202592,prac_stop_color,,,,50,,,,,,,,,,,,,,
null,,prac_atten_color_black,204595,black_plus_sign,,,,null,,,,,,,,,,,,,,
61101.19999999995,,attentioncheck_feedback,265698,cross_check_feedback,,0,,,,,,,,,,,,,,,,
22049,,last_instruct,287748,instruct,,,,32,,,,,,,,,,,,,,
null,,learn_phase(without_color),289751,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,black_cross(without_color),290780,green,,,,null,GW/wheelchair.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,291283,green,,,,null,GW/wheelchair.jpg,GW/paint.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,292259,black_plus_sign,,,,null,,,NaN,,,,,,,,,,,
null,,color_black,292361,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),294364,black_plus_sign,,,,null,GW/paint.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,black_cross(without_color),295395,blue,,,,null,GW/paint.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,295897,blue,,,,null,GW/paint.jpg,GW/dustpan.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,296874,black_plus_sign,,,,null,,,NaN,,,,,,,,,,,
null,,warning_page,299876,warning,,,,null,,,,,,,,,,,,,,
null,,color_black,299979,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),301983,black_plus_sign,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,black_cross(without_color),302684,blue,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,303186,blue,,,,null,GW/hat.jpg,GW/soldier.jpg,,,,,,,,,,,,
2086.1999999999534,,rt_thecrossant_black,304491,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,304593,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),306594,black_plus_sign,,,,null,GW/basket.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,black_cross(without_color),307457,blue,,,,null,GW/basket.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,307959,blue,,,,null,GW/basket.jpg,GW/snail.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,309102,black_plus_sign,,,,null,,,1,,,,,,,,,,,
null,,color_black,309205,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),311208,black_plus_sign,,,,null,GW/wheelchair.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),312027,green,,,,null,GW/wheelchair.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,312528,green,,,,null,GW/wheelchair.jpg,GW/barrel.jpg,,,,,,,,,,,,
2073.399999999907,,rt_thecrossant_black,313715,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,313818,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),315821,black_plus_sign,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),316388,blue,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,316890,blue,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
1516.1999999999534,,rt_thecrossant_black,318329,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,318432,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),320435,black_plus_sign,,,,null,GW/jukebox.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,black_cross(without_color),321121,green,,,,null,GW/jukebox.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,321624,green,,,,null,GW/jukebox.jpg,GW/teeth.jpg,,,,,,,,,,,,
null,,rt_thecrossant_black,322956,black_plus_sign,,,,null,,,1,,,,,,,,,,,
null,,color_black,323059,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),325062,black_plus_sign,,,,null,GW/basket.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,black_cross(without_color),325553,green,,,,null,GW/basket.jpg,GW/globe.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,326055,green,,,,null,GW/basket.jpg,GW/globe.jpg,,,,,,,,,,,,
1475.5,,rt_thecrossant_black,327566,black_plus_sign,,,,50,,,1,1,,,,,,,,,,
null,,color_black,327669,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),329672,black_plus_sign,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,black_cross(without_color),330454,blue,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,330956,blue,,,,null,GW/paint.jpg,GW/jukebox.jpg,,,,,,,,,,,,
1716.1999999999534,,rt_thecrossant_black,332179,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,332282,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),334285,black_plus_sign,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,black_cross(without_color),334880,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,335382,blue,,,,null,GW/camera.jpg,GW/gong.jpg,,,,,,,,,,,,
1928.9000000001397,,rt_thecrossant_black,336792,black_plus_sign,,,,49,,,1,1,,,,,,,,,,
null,,color_black,336893,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),338896,black_plus_sign,,,,null,GW/dustpan.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,black_cross(without_color),339981,blue,,,,null,GW/dustpan.jpg,GW/barrel.jpg,,,,,,,,,,,,
null,,rt_plussign_withcolor,340484,blue,,,,null,GW/dustpan.jpg,GW/barrel.jpg,,,,,,,,,,,,
842.1999999999534,,rt_thecrossant_black,341404,black_plus_sign,,,,50,,,0.8571428571428571,0,,,,,,,,,,
null,,color_black,341514,black_plus_sign,,,,null,,,,,,,,,,,,,,
null,,learn_phase(without_color),343518,black_plus_sign,,,,null,GW/gong.jpg,GW/wheelchair.jpg,,,,,,,,,,,,
