rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
6049,{worker_id:6654c3056acf3abb982b23ab},id_enter,6051,interleaved,replication,GW/hotsprings.png; GW/newhope.png; GW/hanover.png; GW/peoria.png; GW/westpalmbeach.png; GW/boulder.png; GW/leesburg.png; GW/huntsville.png; GW/racine.png; GW/cornwall.png; GW/gatlinburg.png; GW/shreveport.png; GW/carmel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16947,,fullscreen,23004,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13433.90000000596,,intro_1,36441,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24940.899999976158,,intro_2,61384,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
16275.5,,intro_3,77661,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,80663,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,81666,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
7744.800000011921,,intro_1,89412,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15139.59999999404,,intro_2,104554,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,107555,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,108558,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
6066.5,,intro_1,114626,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9131.40000000596,,intro_2,123759,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
44585.59999999404,,intro_3,168346,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,168738,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,169750,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
23.30000001192093,,prac_atten_color_black,171751,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,172143,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
790.5,,prac_atten_color,173005,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,175007,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,175551,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
680.2999999821186,,prac_atten_color,176439,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,178441,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
