rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial,problems,smooth,distraction,strategies,easier,similar,comments
19092.699999999255,{worker_id:54e32a60fdf99b3eae9de85b},id_enter,19103,interleaved,replication,GW/hotsprings.png; GW/newhope.png; GW/hanover.png; GW/gatlinburg.png; GW/leesburg.png; GW/shreveport.png; GW/peoria.png; GW/boulder.png; GW/westpalmbeach.png; GW/huntsville.png; GW/cornwall.png; GW/carmel.png; GW/racine.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31629.5,,fullscreen,50753,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17757.5,,intro_1,68518,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11251.299999998882,,intro_2,79783,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431.4000000003725,,intro_3,86224,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,89235,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,90242,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312.800000000745,,intro_1,92561,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085.5,,intro_2,95654,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,98657,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,99661,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
2112.9000000003725,,intro_1,101779,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2322.199999999255,,intro_2,104110,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23563.199999999255,,intro_3,127684,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,128206,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
